image_path,label
train\cardboard\cardboard1.jpg,cardboard
train\cardboard\cardboard10.jpg,cardboard
train\cardboard\cardboard100.jpg,cardboard
train\cardboard\cardboard101.jpg,cardboard
train\cardboard\cardboard102.jpg,cardboard
train\cardboard\cardboard103.jpg,cardboard
train\cardboard\cardboard104.jpg,cardboard
train\cardboard\cardboard105.jpg,cardboard
train\cardboard\cardboard106.jpg,cardboard
train\cardboard\cardboard107.jpg,cardboard
train\cardboard\cardboard109.jpg,cardboard
train\cardboard\cardboard11.jpg,cardboard
train\cardboard\cardboard110.jpg,cardboard
train\cardboard\cardboard111.jpg,cardboard
train\cardboard\cardboard112.jpg,cardboard
train\cardboard\cardboard113.jpg,cardboard
train\cardboard\cardboard118.jpg,cardboard
train\cardboard\cardboard120.jpg,cardboard
train\cardboard\cardboard121.jpg,cardboard
train\cardboard\cardboard122.jpg,cardboard
train\cardboard\cardboard124.jpg,cardboard
train\cardboard\cardboard126.jpg,cardboard
train\cardboard\cardboard128.jpg,cardboard
train\cardboard\cardboard13.jpg,cardboard
train\cardboard\cardboard130.jpg,cardboard
train\cardboard\cardboard131.jpg,cardboard
train\cardboard\cardboard132.jpg,cardboard
train\cardboard\cardboard133.jpg,cardboard
train\cardboard\cardboard134.jpg,cardboard
train\cardboard\cardboard135.jpg,cardboard
train\cardboard\cardboard136.jpg,cardboard
train\cardboard\cardboard137.jpg,cardboard
train\cardboard\cardboard138.jpg,cardboard
train\cardboard\cardboard139.jpg,cardboard
train\cardboard\cardboard140.jpg,cardboard
train\cardboard\cardboard141.jpg,cardboard
train\cardboard\cardboard142.jpg,cardboard
train\cardboard\cardboard143.jpg,cardboard
train\cardboard\cardboard144.jpg,cardboard
train\cardboard\cardboard146.jpg,cardboard
train\cardboard\cardboard147.jpg,cardboard
train\cardboard\cardboard148.jpg,cardboard
train\cardboard\cardboard151.jpg,cardboard
train\cardboard\cardboard152.jpg,cardboard
train\cardboard\cardboard156.jpg,cardboard
train\cardboard\cardboard157.jpg,cardboard
train\cardboard\cardboard159.jpg,cardboard
train\cardboard\cardboard16.jpg,cardboard
train\cardboard\cardboard160.jpg,cardboard
train\cardboard\cardboard161.jpg,cardboard
train\cardboard\cardboard162.jpg,cardboard
train\cardboard\cardboard163.jpg,cardboard
train\cardboard\cardboard164.jpg,cardboard
train\cardboard\cardboard166.jpg,cardboard
train\cardboard\cardboard167.jpg,cardboard
train\cardboard\cardboard168.jpg,cardboard
train\cardboard\cardboard169.jpg,cardboard
train\cardboard\cardboard17.jpg,cardboard
train\cardboard\cardboard170.jpg,cardboard
train\cardboard\cardboard171.jpg,cardboard
train\cardboard\cardboard172.jpg,cardboard
train\cardboard\cardboard174.jpg,cardboard
train\cardboard\cardboard175.jpg,cardboard
train\cardboard\cardboard176.jpg,cardboard
train\cardboard\cardboard177.jpg,cardboard
train\cardboard\cardboard178.jpg,cardboard
train\cardboard\cardboard179.jpg,cardboard
train\cardboard\cardboard18.jpg,cardboard
train\cardboard\cardboard180.jpg,cardboard
train\cardboard\cardboard181.jpg,cardboard
train\cardboard\cardboard182.jpg,cardboard
train\cardboard\cardboard183.jpg,cardboard
train\cardboard\cardboard184.jpg,cardboard
train\cardboard\cardboard185.jpg,cardboard
train\cardboard\cardboard186.jpg,cardboard
train\cardboard\cardboard187.jpg,cardboard
train\cardboard\cardboard188.jpg,cardboard
train\cardboard\cardboard189.jpg,cardboard
train\cardboard\cardboard19.jpg,cardboard
train\cardboard\cardboard190.jpg,cardboard
train\cardboard\cardboard191.jpg,cardboard
train\cardboard\cardboard192.jpg,cardboard
train\cardboard\cardboard193.jpg,cardboard
train\cardboard\cardboard194.jpg,cardboard
train\cardboard\cardboard195.jpg,cardboard
train\cardboard\cardboard196.jpg,cardboard
train\cardboard\cardboard197.jpg,cardboard
train\cardboard\cardboard198.jpg,cardboard
train\cardboard\cardboard199.jpg,cardboard
train\cardboard\cardboard2.jpg,cardboard
train\cardboard\cardboard20.jpg,cardboard
train\cardboard\cardboard200.jpg,cardboard
train\cardboard\cardboard201.jpg,cardboard
train\cardboard\cardboard202.jpg,cardboard
train\cardboard\cardboard203.jpg,cardboard
train\cardboard\cardboard204.jpg,cardboard
train\cardboard\cardboard205.jpg,cardboard
train\cardboard\cardboard206.jpg,cardboard
train\cardboard\cardboard207.jpg,cardboard
train\cardboard\cardboard208.jpg,cardboard
train\cardboard\cardboard209.jpg,cardboard
train\cardboard\cardboard21.jpg,cardboard
train\cardboard\cardboard210.jpg,cardboard
train\cardboard\cardboard211.jpg,cardboard
train\cardboard\cardboard212.jpg,cardboard
train\cardboard\cardboard213.jpg,cardboard
train\cardboard\cardboard214.jpg,cardboard
train\cardboard\cardboard215.jpg,cardboard
train\cardboard\cardboard216.jpg,cardboard
train\cardboard\cardboard217.jpg,cardboard
train\cardboard\cardboard218.jpg,cardboard
train\cardboard\cardboard219.jpg,cardboard
train\cardboard\cardboard22.jpg,cardboard
train\cardboard\cardboard220.jpg,cardboard
train\cardboard\cardboard221.jpg,cardboard
train\cardboard\cardboard222.jpg,cardboard
train\cardboard\cardboard223.jpg,cardboard
train\cardboard\cardboard224.jpg,cardboard
train\cardboard\cardboard225.jpg,cardboard
train\cardboard\cardboard226.jpg,cardboard
train\cardboard\cardboard227.jpg,cardboard
train\cardboard\cardboard228.jpg,cardboard
train\cardboard\cardboard229.jpg,cardboard
train\cardboard\cardboard23.jpg,cardboard
train\cardboard\cardboard230.jpg,cardboard
train\cardboard\cardboard231.jpg,cardboard
train\cardboard\cardboard232.jpg,cardboard
train\cardboard\cardboard233.jpg,cardboard
train\cardboard\cardboard234.jpg,cardboard
train\cardboard\cardboard235.jpg,cardboard
train\cardboard\cardboard236.jpg,cardboard
train\cardboard\cardboard237.jpg,cardboard
train\cardboard\cardboard238.jpg,cardboard
train\cardboard\cardboard239.jpg,cardboard
train\cardboard\cardboard24.jpg,cardboard
train\cardboard\cardboard240.jpg,cardboard
train\cardboard\cardboard241.jpg,cardboard
train\cardboard\cardboard242.jpg,cardboard
train\cardboard\cardboard243.jpg,cardboard
train\cardboard\cardboard244.jpg,cardboard
train\cardboard\cardboard245.jpg,cardboard
train\cardboard\cardboard246.jpg,cardboard
train\cardboard\cardboard247.jpg,cardboard
train\cardboard\cardboard248.jpg,cardboard
train\cardboard\cardboard249.jpg,cardboard
train\cardboard\cardboard25.jpg,cardboard
train\cardboard\cardboard250.jpg,cardboard
train\cardboard\cardboard251.jpg,cardboard
train\cardboard\cardboard252.jpg,cardboard
train\cardboard\cardboard253.jpg,cardboard
train\cardboard\cardboard254.jpg,cardboard
train\cardboard\cardboard255.jpg,cardboard
train\cardboard\cardboard256.jpg,cardboard
train\cardboard\cardboard257.jpg,cardboard
train\cardboard\cardboard258.jpg,cardboard
train\cardboard\cardboard259.jpg,cardboard
train\cardboard\cardboard26.jpg,cardboard
train\cardboard\cardboard260.jpg,cardboard
train\cardboard\cardboard261.jpg,cardboard
train\cardboard\cardboard262.jpg,cardboard
train\cardboard\cardboard263.jpg,cardboard
train\cardboard\cardboard264.jpg,cardboard
train\cardboard\cardboard265.jpg,cardboard
train\cardboard\cardboard266.jpg,cardboard
train\cardboard\cardboard267.jpg,cardboard
train\cardboard\cardboard268.jpg,cardboard
train\cardboard\cardboard269.jpg,cardboard
train\cardboard\cardboard27.jpg,cardboard
train\cardboard\cardboard270.jpg,cardboard
train\cardboard\cardboard271.jpg,cardboard
train\cardboard\cardboard272.jpg,cardboard
train\cardboard\cardboard273.jpg,cardboard
train\cardboard\cardboard274.jpg,cardboard
train\cardboard\cardboard275.jpg,cardboard
train\cardboard\cardboard276.jpg,cardboard
train\cardboard\cardboard277.jpg,cardboard
train\cardboard\cardboard278.jpg,cardboard
train\cardboard\cardboard279.jpg,cardboard
train\cardboard\cardboard280.jpg,cardboard
train\cardboard\cardboard281.jpg,cardboard
train\cardboard\cardboard282.jpg,cardboard
train\cardboard\cardboard283.jpg,cardboard
train\cardboard\cardboard284.jpg,cardboard
train\cardboard\cardboard285.jpg,cardboard
train\cardboard\cardboard286.jpg,cardboard
train\cardboard\cardboard287.jpg,cardboard
train\cardboard\cardboard288.jpg,cardboard
train\cardboard\cardboard289.jpg,cardboard
train\cardboard\cardboard29.jpg,cardboard
train\cardboard\cardboard290.jpg,cardboard
train\cardboard\cardboard291.jpg,cardboard
train\cardboard\cardboard292.jpg,cardboard
train\cardboard\cardboard293.jpg,cardboard
train\cardboard\cardboard294.jpg,cardboard
train\cardboard\cardboard295.jpg,cardboard
train\cardboard\cardboard296.jpg,cardboard
train\cardboard\cardboard297.jpg,cardboard
train\cardboard\cardboard298.jpg,cardboard
train\cardboard\cardboard299.jpg,cardboard
train\cardboard\cardboard30.jpg,cardboard
train\cardboard\cardboard300.jpg,cardboard
train\cardboard\cardboard301.jpg,cardboard
train\cardboard\cardboard302.jpg,cardboard
train\cardboard\cardboard303.jpg,cardboard
train\cardboard\cardboard304.jpg,cardboard
train\cardboard\cardboard305.jpg,cardboard
train\cardboard\cardboard306.jpg,cardboard
train\cardboard\cardboard307.jpg,cardboard
train\cardboard\cardboard308.jpg,cardboard
train\cardboard\cardboard309.jpg,cardboard
train\cardboard\cardboard310.jpg,cardboard
train\cardboard\cardboard311.jpg,cardboard
train\cardboard\cardboard312.jpg,cardboard
train\cardboard\cardboard313.jpg,cardboard
train\cardboard\cardboard314.jpg,cardboard
train\cardboard\cardboard315.jpg,cardboard
train\cardboard\cardboard316.jpg,cardboard
train\cardboard\cardboard317.jpg,cardboard
train\cardboard\cardboard318.jpg,cardboard
train\cardboard\cardboard319.jpg,cardboard
train\cardboard\cardboard32.jpg,cardboard
train\cardboard\cardboard320.jpg,cardboard
train\cardboard\cardboard321.jpg,cardboard
train\cardboard\cardboard322.jpg,cardboard
train\cardboard\cardboard323.jpg,cardboard
train\cardboard\cardboard324.jpg,cardboard
train\cardboard\cardboard325.jpg,cardboard
train\cardboard\cardboard326.jpg,cardboard
train\cardboard\cardboard327.jpg,cardboard
train\cardboard\cardboard328.jpg,cardboard
train\cardboard\cardboard329.jpg,cardboard
train\cardboard\cardboard33.jpg,cardboard
train\cardboard\cardboard330.jpg,cardboard
train\cardboard\cardboard331.jpg,cardboard
train\cardboard\cardboard332.jpg,cardboard
train\cardboard\cardboard333.jpg,cardboard
train\cardboard\cardboard334.jpg,cardboard
train\cardboard\cardboard335.jpg,cardboard
train\cardboard\cardboard336.jpg,cardboard
train\cardboard\cardboard337.jpg,cardboard
train\cardboard\cardboard338.jpg,cardboard
train\cardboard\cardboard339.jpg,cardboard
train\cardboard\cardboard34.jpg,cardboard
train\cardboard\cardboard340.jpg,cardboard
train\cardboard\cardboard341.jpg,cardboard
train\cardboard\cardboard342.jpg,cardboard
train\cardboard\cardboard343.jpg,cardboard
train\cardboard\cardboard344.jpg,cardboard
train\cardboard\cardboard345.jpg,cardboard
train\cardboard\cardboard346.jpg,cardboard
train\cardboard\cardboard347.jpg,cardboard
train\cardboard\cardboard348.jpg,cardboard
